short_name,age,nationality_name,overall,potential,club_name,value_eur,wage_eur,player_positions
Borja García,30,Spain,73,73,Girona FC,2900000.0,11000.0,CAM
Borja Bastón,28,Spain,73,73,Real Oviedo,3100000.0,11000.0,ST
Moisés,33,Brazil,73,73,Shandong Taishan,1500000.0,15000.0,CDM
M. Ducksch,27,Germany,73,73,SV Werder Bremen,3300000.0,12000.0,ST
Anselmo,32,Brazil,73,73,Al Nassr,2400000.0,30000.0,CM
B. Stambouli,30,France,73,73,Adana Demirspor,2500000.0,14000.0,CDM
Leandro Damião,31,Brazil,73,73,Kawasaki Frontale,2600000.0,12000.0,ST
M. Autret,30,France,73,73,AJ Auxerre,2900000.0,7000.0,CAM
D. Bentley,27,England,73,75,Bristol City,2800000.0,21000.0,GK
Sergio León,32,Spain,73,73,Real Valladolid CF,2500000.0,11000.0,ST
R. Inglese,29,Italy,73,73,Parma,3000000.0,28000.0,ST
Ilie Sánchez,30,Spain,73,73,Sporting Kansas City,2500000.0,7000.0,CDM
Timor,31,Spain,73,73,Getafe CF,2100000.0,20000.0,CDM
S. Kittel,28,Germany,73,73,Hamburger SV,3100000.0,14000.0,LW
L. Rupp,30,Germany,73,73,Norwich City,2900000.0,28000.0,CM
Juan Jesus,30,Brazil,73,73,Napoli,2500000.0,38000.0,CB
G. Baldock,28,England,73,73,Sheffield United,2800000.0,22000.0,RWB
Rafael Martins,32,Brazil,73,73,Moreirense FC,2500000.0,13000.0,ST
L. Tonelli,31,Italy,73,73,Empoli,2100000.0,32000.0,CB
N. De Préville,30,France,73,73,FC Metz,2900000.0,16000.0,CAM
M. Colin,29,France,73,73,Birmingham City,2700000.0,18000.0,RB
M. Le Bihan,31,France,73,73,Dijon FCO,2600000.0,6000.0,ST
Recio,30,Spain,73,73,CD Leganés,2900000.0,11000.0,CM
S. Zoller,30,Germany,73,73,VfL Bochum 1848,3000000.0,22000.0,ST
F. Quignon,28,Argentina,73,73,FC Dallas,2700000.0,7000.0,CDM
J. Butland,28,England,73,74,Crystal Palace,2400000.0,31000.0,GK
V. Germain,31,France,73,73,Montpellier Hérault SC,2600000.0,22000.0,ST
B. Reynet,30,France,73,73,Dijon FCO,2000000.0,4000.0,GK
Fede Vico,26,Spain,73,74,CD Leganés,3600000.0,11000.0,CAM
Iván Sánchez,28,Spain,73,73,Birmingham City,3100000.0,20000.0,RM
Ruiz de Galarreta,27,Spain,73,74,RCD Mallorca,3100000.0,19000.0,CDM
Fernando,31,Spain,73,73,Unión Deportiva Almería,1600000.0,8000.0,GK
Marcelo,31,Brazil,73,73,Al Tai,2100000.0,16000.0,CB
L. Ceppitelli,31,Italy,73,73,Cagliari,2100000.0,23000.0,CB
D. Gayle,30,England,73,73,Newcastle United,3000000.0,33000.0,ST
Jairo,27,Spain,73,73,Málaga CF,3200000.0,9000.0,LM
L. Aued,34,Argentina,73,73,Universidad Católica,1400000.0,11000.0,CM
P. Nardi,27,France,73,77,FC Lorient,3200000.0,12000.0,GK
Juan Cruz,28,Spain,73,73,CA Osasuna,2800000.0,21000.0,LB
M. Weiser,27,Germany,73,73,SV Werder Bremen,2900000.0,32000.0,RB
F. Fragapane,28,Argentina,73,73,Minnesota United FC,3100000.0,8000.0,LM
Rafael Silva,29,Brazil,73,73,Wuhan FC,3000000.0,12000.0,ST
Filipe Augusto,27,Brazil,73,73,Damac FC,3200000.0,18000.0,CM
Lucas Lima,29,Brazil,73,73,İstanbul Başakşehir FK,2700000.0,27000.0,LB
L. Fernández,30,Argentina,73,73,Club Nacional de Football,3000000.0,1000.0,CF
D. Bessa,28,Italy,73,73,Hellas Verona,3100000.0,22000.0,CAM
C. Hérelle,28,France,73,74,Stade Brestois 29,2900000.0,15000.0,CB
Marcos Júnior,28,Brazil,73,73,Yokohama F. Marinos,3100000.0,12000.0,CAM
J. Gastien,33,France,73,73,Clermont Foot 63,1500000.0,15000.0,CDM
S. Byram,27,England,73,73,Norwich City,2900000.0,25000.0,LB
F. Tardieu,29,France,73,73,ESTAC Troyes,2600000.0,15000.0,CDM
A. Brignoli,29,Italy,73,74,Panathinaikos FC,2300000.0,600.0,GK
Fran Sol,29,Spain,73,73,SD Eibar,3000000.0,950.0,ST
Edgar Ié,27,Portugal,73,74,Trabzonspor,3100000.0,19000.0,CB
Lucas João,27,Portugal,73,73,Reading,3300000.0,25000.0,ST
J. Velázquez,30,Argentina,73,73,Club Atlético Talleres,2500000.0,16000.0,CB
Frederico Venâncio,28,Portugal,73,75,SD Eibar,3100000.0,10000.0,CB
D. Cataldi,26,Italy,73,74,Lazio,3600000.0,40000.0,CM
K. Möhwald,27,Germany,73,73,1. FC Union Berlin,3200000.0,24000.0,CM
N. Gavory,26,France,73,75,Standard de Liège,3500000.0,13000.0,LB
J. Haberer,27,Germany,73,74,Sport-Club Freiburg,3500000.0,22000.0,CM
M. Meyer,25,Germany,73,76,Fenerbahçe SK,4000000.0,34000.0,CM
Nacho,32,Spain,73,73,Real Valladolid CF,2100000.0,9000.0,LB
A. Solari,29,Argentina,73,73,RC Celta de Vigo,3000000.0,19000.0,RM
C. Lenz,26,Germany,73,75,Eintracht Frankfurt,3500000.0,20000.0,LB
Ivan Cavaleiro,27,Portugal,73,73,Fulham,3300000.0,45000.0,ST
Medrán,27,Spain,73,74,Chicago Fire Football Club,3500000.0,8000.0,CM
W. Cyprien,26,France,73,74,FC Nantes,3600000.0,25000.0,CM
B. Davies,25,England,73,76,Sheffield United,3600000.0,57000.0,CB
Róber,26,Spain,73,78,Levante Unión Deportiva,4000000.0,20000.0,CB
L. Cháves,25,Argentina,73,78,Argentinos Juniors,3600000.0,8000.0,GK
M. Nervo,30,Argentina,73,73,Club Atlas,2500000.0,11000.0,CB
A. Mowatt,26,England,73,75,West Bromwich Albion,3700000.0,34000.0,CM
T. Kleindienst,25,Germany,73,76,1. FC Heidenheim 1846,4100000.0,21000.0,ST
J. Toljan,26,Germany,73,74,U.S. Sassuolo Calcio,3300000.0,23000.0,RB
G. Gallon,28,France,73,75,ESTAC Troyes,2600000.0,12000.0,GK
D. González,33,Argentina,73,73,Boca Juniors,1900000.0,14000.0,CM
S. Schonlau,26,Germany,73,75,Hamburger SV,3300000.0,12000.0,CB
E. Mas,32,Argentina,73,73,Orlando City Soccer Club,2100000.0,7000.0,LB
F. Mancuello,32,Argentina,73,73,Vélez Sarsfield,2400000.0,18000.0,CM
F. Meza,31,Argentina,73,73,Club Necaxa,2100000.0,11000.0,CB
R. Rey,30,Argentina,73,74,Gimnasia y Esgrima La Plata,2300000.0,11000.0,GK
L. Faravelli,28,Argentina,73,73,Independiente del Valle,3000000.0,1000.0,CM
S. Moyano,30,Argentina,73,73,Unión de Santa Fe,2000000.0,9000.0,GK
A. Hunou,27,France,73,74,Minnesota United FC,3600000.0,8000.0,ST
C. Auzqui,30,Argentina,73,73,Club Atlético Talleres,3000000.0,14000.0,ST
B. Chardonnet,26,France,73,76,Stade Brestois 29,3500000.0,15000.0,CB
Henrique Dourado,31,Brazil,73,73,Henan Songshan Longmen FC,2600000.0,14000.0,ST
Jason,26,Spain,73,73,Valencia CF,3300000.0,25000.0,RM
Samir,26,Brazil,73,75,Udinese Calcio,3300000.0,13000.0,CB
Quintillà,24,Spain,73,78,CD Leganés,4300000.0,19000.0,LB
G. Letizia,31,Italy,73,73,Benevento,2200000.0,14000.0,RB
J. Cooper,26,England,73,76,Millwall,3500000.0,12000.0,CB
S. Torrico,41,Argentina,73,73,San Lorenzo de Almagro,350000.0,6000.0,GK
J. Beauguel,29,France,73,73,FC Viktoria Plzeň,3000000.0,1000.0,ST
Bruno Henrique,31,Brazil,73,73,Al Ittihad,2100000.0,27000.0,CDM
Pozo,25,Spain,73,76,Rayo Vallecano,4000000.0,16000.0,CAM
Rafa Soares,26,Portugal,73,76,Vitória de Guimarães,3700000.0,9000.0,LB
Edgar Méndez,31,Spain,73,73,Deportivo Alavés,2500000.0,19000.0,RM
Iza Carcelén,28,Spain,73,73,Cádiz CF,2800000.0,22000.0,RB
Diego Rico,28,Spain,73,73,Real Sociedad,2800000.0,23000.0,LB
A. Grassi,26,Italy,73,76,Cagliari,4000000.0,25000.0,CM
P. Seguin,26,Germany,73,75,SpVgg Greuther Fürth,3700000.0,20000.0,CM
Vigaray,26,Spain,73,74,Real Zaragoza,3300000.0,9000.0,RB
J. Komar,24,Argentina,73,80,Club Atlético Talleres,5500000.0,10000.0,CB
Everaldo,29,Brazil,73,73,Kashima Antlers,3000000.0,10000.0,ST
Gustavo,27,Brazil,73,74,Jeonbuk Hyundai Motors,3600000.0,11000.0,ST
Walace,26,Brazil,73,75,Udinese Calcio,3400000.0,13000.0,CDM
A. Zedadka,26,France,73,76,Clermont Foot 63,3700000.0,15000.0,RB
M. Benítez,30,Argentina,73,73,Defensa y Justicia,2600000.0,12000.0,LB
Carraça,28,Portugal,73,73,Belenenses SAD,2800000.0,11000.0,RB
J. Correa,28,Argentina,73,73,Racing Club,3100000.0,20000.0,ST
Fede,24,Spain,73,79,Real Valladolid CF,4400000.0,8000.0,CDM
Manu García,23,Spain,73,82,Deportivo Alavés,7000000.0,8000.0,CAM
Pedro Chirivella,24,Spain,73,77,FC Nantes,4000000.0,16000.0,CDM
André Simões,31,Portugal,73,73,AEK Athens,2100000.0,1000.0,CDM
Luis Rioja,27,Spain,73,73,Deportivo Alavés,3200000.0,19000.0,LM
M. Wittek,25,Germany,73,76,Vitesse,3700000.0,13000.0,LWB
W. Montoya,27,Argentina,73,73,Cruz Azul,3200000.0,44000.0,RM
Iago,29,Brazil,73,73,Al Taawoun,2500000.0,20000.0,CB
Pedro Nuno,26,Portugal,73,76,Belenenses SAD,4000000.0,8000.0,ST
G. Ferrari,29,Italy,73,74,U.S. Sassuolo Calcio,2800000.0,24000.0,CB
Adrián Marín,24,Spain,73,78,Futebol Clube de Famalicão,4300000.0,14000.0,LB
Kike Barja,24,Spain,73,79,CA Osasuna,4800000.0,19000.0,RM
Raúl Guti,24,Spain,73,80,Elche CF,6000000.0,14000.0,CM
Pol Llonch,28,Spain,73,73,Willem II,2700000.0,8000.0,CDM
D. Solanke,23,England,73,78,AFC Bournemouth,4700000.0,27000.0,ST
André Horta,24,Portugal,73,80,SC Braga,6000000.0,11000.0,CM
R. Ábila,31,Argentina,73,73,D.C. United,2600000.0,8000.0,ST
M. Coco,25,France,73,75,FC Nantes,3800000.0,20000.0,RM
Ivo Rodrigues,26,Portugal,73,74,Futebol Clube de Famalicão,3600000.0,9000.0,RM
E. Martínez,27,Argentina,73,73,Barcelona Sporting Club,3200000.0,1000.0,LM
Ricardo Lopes,30,Brazil,73,73,Shanghai Port FC,3000000.0,21000.0,ST
A. Castro,26,Argentina,73,73,Club Atlético Colón,3300000.0,12000.0,CM
Sergi Palencia,25,Spain,73,78,CD Leganés,4200000.0,21000.0,RB
H. Choudhury,23,England,73,77,Leicester City,4000000.0,48000.0,CDM
L. Godoy,26,Argentina,73,76,Estudiantes de La Plata,3700000.0,12000.0,RB
Raillo,29,Spain,73,73,RCD Mallorca,2500000.0,20000.0,CB
William,26,Brazil,73,76,VfL Wolfsburg,3700000.0,38000.0,RB
João Novais,27,Portugal,73,73,Aytemiz Alanyaspor,3200000.0,13000.0,CM
Allano,26,Brazil,73,74,Santa Clara,3600000.0,7000.0,LW
L. Rodríguez,24,Argentina,73,79,Club Tijuana,4800000.0,16000.0,LM
Lazo,25,Spain,73,76,Unión Deportiva Almería,4000000.0,10000.0,LM
Josan,31,Spain,73,73,Elche CF,2500000.0,16000.0,RM
D. Fry,23,England,73,80,Middlesbrough,5500000.0,18000.0,CB
Rodrigo Pinho,30,Brazil,73,73,SL Benfica,3000000.0,12000.0,ST
Jaim Abra,29,Brazil,73,73,Associação Chapecoense de Futebol,2100000.0,11000.0,GK
Freder Cabral,29,Brazil,73,73,Clube Atlético Mineiro,2100000.0,21000.0,GK
Hugo Goiteira,29,Brazil,73,73,Ceará Sporting Club,2500000.0,11000.0,CB
Osvaldão Murilo,21,Brazil,73,73,RB Bragantino,3100000.0,9000.0,CB
Lúcio Calegario,29,Brazil,73,73,São Paulo,3000000.0,30000.0,CM
Caio Chissano,33,Brazil,73,73,São Paulo,1600000.0,26000.0,LB
Paulson Junqueira,25,Brazil,73,73,Sport Club Corinthians Paulista,3100000.0,20000.0,LB
Juliano Mascarinhas,25,Brazil,73,73,Grêmio,3000000.0,20000.0,CDM
Nicolás Formido,21,Brazil,73,73,Internacional,3600000.0,16000.0,CAM
Guto Costinho,33,Brazil,73,73,Palmeiras,1500000.0,26000.0,CB
Michel Cruceiro,29,Brazil,73,73,Flamengo,2600000.0,27000.0,CDM
Jonas Damasto,25,Brazil,73,73,Club Athletico Paranaense,3100000.0,11000.0,LB
Jeffmeirson,29,Brazil,73,73,RB Bragantino,2700000.0,14000.0,LB
Tramontinaldo,25,Brazil,73,73,Club Athletico Paranaense,3100000.0,11000.0,RB
Neviano Neves,21,Brazil,73,73,Sport Club Corinthians Paulista,3600000.0,17000.0,CM
Silvosinho,25,Brazil,73,73,Santos,3100000.0,19000.0,RB
Enaldo Toxeto,37,Brazil,73,73,Grêmio,550000.0,15000.0,CB
Fabrio Farinha,29,Brazil,73,73,Internacional,3000000.0,22000.0,CAM
Brenito Duarte,29,Brazil,73,73,Cuiabá,3000000.0,15000.0,RM
Sandelas Júnior,29,Brazil,73,73,Santos,2600000.0,20000.0,CDM
Dagoberto Esteiro,25,Brazil,73,73,São Paulo,3400000.0,30000.0,ST
Luis Couprins,21,Brazil,73,73,Club Athletico Paranaense,3200000.0,9000.0,CDM
Nuno Lisareda,21,Brazil,73,73,Sport Club Corinthians Paulista,3600000.0,19000.0,ST
Rodolfo Pittaça,21,Brazil,73,73,Cuiabá,3600000.0,12000.0,ST
Marcos Paneira,21,Brazil,73,73,Bahia,3200000.0,8000.0,CDM
Claudiosa Paes,33,Brazil,73,73,São Paulo,1900000.0,31000.0,RW
Thio Rolim,25,Brazil,73,73,Cuiabá,3400000.0,15000.0,LW
Marlon Nideiro,25,Brazil,73,73,Grêmio,3400000.0,22000.0,CAM
Leo Caldeirinha,25,Brazil,73,73,Juventude,3400000.0,19000.0,CAM
Alvildo Sousa,25,Brazil,73,73,Atlético Clube Goianiense,3400000.0,11000.0,CAM
Fabri Arnoia,29,Brazil,73,73,Flamengo,3000000.0,32000.0,RW
M. Diakhaby,24,France,73,79,Valencia CF,4400000.0,20000.0,CB
H. Wahl,27,Germany,73,73,Holstein Kiel,2800000.0,18000.0,CB
T. Chalobah,21,England,73,80,Chelsea,5500000.0,43000.0,CB
K. Amian,23,France,73,77,Spezia,3900000.0,12000.0,CB
J. Dasilva,22,England,73,82,Brentford,7000000.0,31000.0,CM
R. Pierre-Gabriel,23,France,73,78,Stade Brestois 29,4300000.0,16000.0,RB
Toni Lato,23,Spain,73,79,Valencia CF,4500000.0,20000.0,LB
C. Bravo,24,Argentina,73,80,Portland Timbers,6000000.0,6000.0,LB
Bernardo,26,Brazil,73,75,FC Red Bull Salzburg,3500000.0,20000.0,LB
N. Molina,23,Argentina,73,81,Udinese Calcio,6500000.0,11000.0,RWB
Lincoln,22,Brazil,73,82,Santa Clara,7000000.0,6000.0,CAM
S. Alakouch,22,France,73,78,FC Metz,4400000.0,12000.0,RB
Vágner Corraldo,21,Brazil,73,73,Club Athletico Paranaense,3300000.0,9000.0,LB
Mardial Cunha,21,Brazil,73,73,Fortaleza,3100000.0,8000.0,CB
G. Escobar,24,Argentina,73,76,UD Ibiza,3800000.0,6000.0,LB
Dodô,22,Brazil,73,84,Shakhtar Donetsk,6500000.0,650.0,RB
Artur,25,Brazil,73,75,Columbus Crew,3400000.0,7000.0,CDM
Diogo Leite,22,Portugal,73,81,SC Braga,6500000.0,9000.0,CB
Diogo Costa,21,Portugal,73,85,FC Porto,6500000.0,5000.0,GK
Maycon,23,Brazil,73,79,Shakhtar Donetsk,4800000.0,750.0,CM
Guilherme,26,Brazil,73,74,Al Faisaly,3600000.0,14000.0,LM
João Talocha,31,Portugal,73,73,Gil Vicente FC,2200000.0,9000.0,LB
Luis Pérez,26,Spain,73,76,Real Valladolid CF,3700000.0,9000.0,RB
V. Janelt,23,Germany,73,80,Brentford,5500000.0,28000.0,CDM
C. Bernardi,31,Argentina,73,73,Club Atlético Colón,2500000.0,12000.0,RM
K. Bonifazi,25,Italy,73,78,Bologna,4000000.0,22000.0,CB
S. Özcan,23,Germany,73,80,1. FC Köln,6000000.0,19000.0,CM
J. Bellegarde,23,France,73,81,RC Strasbourg Alsace,6500000.0,17000.0,CM
Aleix Febas,25,Spain,73,78,RCD Mallorca,4400000.0,20000.0,CM
D. Geiger,23,Germany,73,80,TSG Hoffenheim,6000000.0,23000.0,CM
Santi Comesaña,24,Spain,73,79,Rayo Vallecano,4400000.0,13000.0,CDM
I. Cardona,23,France,73,77,Stade Brestois 29,4400000.0,15000.0,ST
Enzo Merques,25,Brazil,73,73,Internacional,3100000.0,19000.0,LB
Marlion Simões,29,Brazil,73,73,Ceará Sporting Club,2700000.0,11000.0,LB
Jorge Praceira,29,Brazil,73,73,Palmeiras,2500000.0,27000.0,CB
Nildo Reisão,25,Brazil,73,73,Clube Atlético Mineiro,3000000.0,23000.0,CDM
Roberto Soira,25,Brazil,73,73,Associação Chapecoense de Futebol,2900000.0,12000.0,CB
O. Ejaria,23,England,73,80,Reading,6000000.0,20000.0,LM
Álvaro,23,Spain,73,82,Brentford,6000000.0,7000.0,GK
A. Nordin,23,France,73,78,AS Saint-Étienne,4600000.0,21000.0,RM
D. Raum,23,Germany,73,80,TSG Hoffenheim,6000000.0,20000.0,LB
J. Torunarigha,23,Germany,73,81,Hertha BSC,6500000.0,25000.0,CB
T. Guidara,25,Argentina,73,76,Vélez Sarsfield,3700000.0,11000.0,RB
J. Gressel,27,Germany,73,73,D.C. United,3200000.0,8000.0,RM
Rodrigo,28,Brazil,73,73,PAOK,2800000.0,1000.0,RB
P. Cutrone,23,Italy,73,78,Empoli,4700000.0,51000.0,ST
Guridi,26,Spain,73,76,Real Sociedad,4000000.0,24000.0,CM
N. Bustos,22,Argentina,73,82,Girona FC,7000000.0,71000.0,ST
E. Copetti,25,Argentina,73,76,Racing Club,4100000.0,16000.0,ST
Pedro Sá,27,Portugal,73,76,Portimonense SC,3500000.0,7000.0,CDM
I. Diallo,22,France,73,80,Southampton,6000000.0,31000.0,CDM
K. Wagner,24,Germany,73,76,Philadelphia Union,3800000.0,6000.0,LB
M. Cuisance,21,France,73,81,FC Bayern München,7000000.0,35000.0,CM
Paulinho,20,Brazil,73,83,Bayer 04 Leverkusen,6500000.0,26000.0,CAM
M. Nzola,24,France,73,77,Spezia,4400000.0,14000.0,ST
M. Ojeda,22,Argentina,73,79,Godoy Cruz,4900000.0,14000.0,RM
N. Phillips,24,England,73,79,Liverpool,4400000.0,52000.0,CB
N. Tenaglia,25,Argentina,73,78,Club Atlético Talleres,4200000.0,11000.0,RB
Borja Sánchez,25,Spain,73,76,Real Oviedo,4000000.0,9000.0,LM
M. Guéhi,20,England,73,84,Crystal Palace,6000000.0,26000.0,CB
Dani Raba,25,Spain,73,76,Villarreal CF,4000000.0,23000.0,RM
Manu Morlanes,22,Spain,73,82,RCD Espanyol de Barcelona,6500000.0,19000.0,CDM
C. Führich,23,Germany,73,79,VfB Stuttgart,4800000.0,19000.0,RM
F. Ortega,22,Argentina,73,80,Vélez Sarsfield,6000000.0,10000.0,LB
C. Jones,20,England,73,85,Liverpool,7500000.0,49000.0,CM
R. Aït Nouri,20,France,73,84,Wolverhampton Wanderers,6500000.0,35000.0,LWB
Dani Gómez,22,Spain,73,79,Levante Unión Deportiva,4900000.0,21000.0,ST
A. Laurienté,22,France,73,80,FC Lorient,6000000.0,14000.0,RM
Catena,26,Spain,73,76,Rayo Vallecano,3500000.0,15000.0,CB
Enric Gallego,34,Spain,73,73,CD Tenerife,1500000.0,10000.0,ST
Sancet,21,Spain,73,83,Athletic Club de Bilbao,7000000.0,17000.0,ST
J. Rodríguez,27,Argentina,73,74,Defensa y Justicia,3100000.0,12000.0,CB
F. Krüger,22,Germany,73,82,DSC Arminia Bielefeld,7000000.0,19000.0,ST
Tomás Tavares,20,Portugal,73,82,FC Basel 1893,6500000.0,7000.0,RB
H. Elliott,18,England,73,87,Liverpool,7000000.0,29000.0,RW
Hugo Guillamón,21,Spain,73,82,Valencia CF,6500000.0,17000.0,CB
L. Orellano,21,Argentina,73,83,Vélez Sarsfield,7000000.0,11000.0,RW
E. Díaz,25,Argentina,73,78,Club Atlético Talleres,4200000.0,11000.0,LB
E. Fernández,20,Argentina,73,84,River Plate,6500000.0,10000.0,CM
A. Vigo,22,Argentina,73,81,River Plate,6500000.0,11000.0,RB
Marcos Antonio,21,Brazil,73,85,Shakhtar Donetsk,7500000.0,650.0,CM
A. Palavecino,24,Argentina,73,78,River Plate,4600000.0,12000.0,CM
N. Schlotterbeck,21,Germany,73,83,Sport-Club Freiburg,6500000.0,14000.0,CB
M. Olise,19,France,73,85,Crystal Palace,7000000.0,22000.0,CAM
Gustavo Assunção,21,Brazil,73,85,Galatasaray SK,7000000.0,6000.0,CDM
Mateu Morey,21,Spain,73,81,Borussia Dortmund,6500000.0,25000.0,RB
E. Piovi,28,Argentina,73,73,LDU Quito,2700000.0,1000.0,CDM
R. Cherki,17,France,73,88,Olympique Lyonnais,7000000.0,9000.0,RW
David Carmo,21,Portugal,73,83,SC Braga,6500000.0,8000.0,CB
Maracás,27,Brazil,73,76,FC Paços de Ferreira,3500000.0,9000.0,CB
R. Nteka,23,France,73,82,Rayo Vallecano,7000000.0,16000.0,ST
Paulinho,26,Brazil,73,75,FC Midtjylland,3500000.0,20000.0,LB
A. Frías,23,Argentina,73,79,Defensa y Justicia,4400000.0,10000.0,CB
Son,27,Spain,73,74,Levante Unión Deportiva,3200000.0,20000.0,RB
A. Velasco,18,Argentina,73,85,Club Atlético Independiente,7000000.0,4000.0,LM
Manu Sánchez,20,Spain,73,83,CA Osasuna,6500000.0,23000.0,LB
Fer Niño,20,Spain,73,83,RCD Mallorca,6500000.0,20000.0,ST
A. Kalimuendo,19,France,73,82,Racing Club de Lens,6500000.0,33000.0,ST
Y. Maçon,22,France,73,79,AS Saint-Étienne,4600000.0,19000.0,RB
Evanilson,21,Brazil,73,83,FC Porto,7000000.0,9000.0,ST
Jon Morcillo,22,Spain,73,79,Athletic Club de Bilbao,4900000.0,18000.0,LM
I. Moriba,18,Spain,73,85,RB Leipzig,7000000.0,17000.0,CM
Yeremy Pino,18,Spain,73,84,Villarreal CF,6500000.0,8000.0,RM
J. Briand,35,France,72,72,FC Girondins de Bordeaux,1000000.0,15000.0,ST
E. Bologna,39,Argentina,72,72,River Plate,250000.0,6000.0,GK
A. Cordaz,38,Italy,72,72,Inter,250000.0,25000.0,GK
D. Cvitanich,37,Argentina,72,72,Racing Club,800000.0,11000.0,ST
C. Lucchetti,43,Argentina,72,72,Atlético Tucumán,250000.0,4000.0,GK
C. Gentner,35,Germany,72,72,FC Luzern,950000.0,9000.0,CM
B. Sharp,35,England,72,72,Sheffield United,1000000.0,17000.0,ST
O. Ustari,34,Argentina,72,72,Pachuca,400000.0,10000.0,GK
E. Viviano,35,Italy,72,72,Fatih Karagümrük S.K.,250000.0,6000.0,GK
S. Sinclair,32,England,72,72,Preston North End,1900000.0,24000.0,LM
Mario Suárez,34,Spain,72,72,Rayo Vallecano,800000.0,13000.0,CDM
Coke,34,Spain,72,72,Levante Unión Deportiva,850000.0,17000.0,RB
José Crespo,34,Spain,72,72,PAOK,750000.0,950.0,CB
R. Gurtner,34,France,72,72,Amiens SC,400000.0,4000.0,GK
A. Gabbarini,35,Argentina,72,72,LDU Quito,250000.0,500.0,GK
L. Deaux,32,France,72,72,Dijon FCO,1600000.0,4000.0,CDM
F. Forestieri,31,Italy,72,72,Udinese Calcio,1900000.0,13000.0,CAM
R. Hennings,33,Germany,72,72,Fortuna Düsseldorf,1500000.0,19000.0,ST
Fernando Boldrin,32,Brazil,72,72,Çaykur Rizespor,1900000.0,11000.0,CAM
A. Modeste,33,France,72,72,1. FC Köln,1500000.0,21000.0,ST
Rúben Ribeiro,33,Portugal,72,72,Atakaş Hatayspor,1400000.0,11000.0,CM
Paulo Vinícius,36,Brazil,72,72,FCSB (Steaua),425000.0,8000.0,CB
A. Rami,35,France,72,72,ESTAC Troyes,625000.0,9000.0,CB
R. Tesche,34,Germany,72,72,VfL Bochum 1848,800000.0,16000.0,CDM
R. Bennett,31,England,72,72,Swansea City,1600000.0,19000.0,CB
J. Pied,32,France,72,72,LOSC Lille,1600000.0,21000.0,RB
A. Smithies,31,England,72,72,Cardiff City,1200000.0,18000.0,GK
N. Sánchez,35,Argentina,72,72,Godoy Cruz,625000.0,6000.0,CB
D. Gosling,31,England,72,72,Watford,1900000.0,35000.0,CM
M. Coda,32,Italy,72,72,Lecce,1900000.0,4000.0,ST
V. Fiorillo,31,Italy,72,72,US Salernitana 1919,1200000.0,21000.0,GK
K. Gibbs,31,England,72,72,Inter Miami CF,1700000.0,6000.0,LB
D. Drinkwater,31,England,72,72,Reading,1900000.0,58000.0,CM
F. Macheda,29,Italy,72,72,Panathinaikos FC,2300000.0,750.0,ST
K. Bartley,30,England,72,72,West Bromwich Albion,1900000.0,27000.0,CB
F. Di Santo,32,Argentina,72,72,San Lorenzo de Almagro,1900000.0,12000.0,ST
Claudemir,33,Brazil,72,72,FC Vizela,1200000.0,5000.0,CDM
D. Brosinski,32,Germany,72,72,1. FSV Mainz 05,1600000.0,16000.0,RWB
S. Burchert,31,Germany,72,72,SpVgg Greuther Fürth,1200000.0,13000.0,GK
C. Pinsoglio,31,Italy,72,72,Juventus,1200000.0,32000.0,GK
D. Diekmeier,31,Germany,72,72,SV Sandhausen,1700000.0,6000.0,RWB
Daniel Candeias,33,Portugal,72,72,Aytemiz Alanyaspor,1500000.0,11000.0,RM
Víctor Vázquez,34,Spain,72,72,LA Galaxy,1100000.0,7000.0,CAM
Fábio,30,Brazil,72,72,FC Nantes,2000000.0,17000.0,LB
Y. Ravet,31,France,72,72,Grenoble Foot 38,1900000.0,7000.0,RW
Etxeita,33,Spain,72,72,SD Eibar,1100000.0,8000.0,CB
Míchel,32,Spain,72,72,CD Tenerife,1800000.0,8000.0,CM
Rúben Lima,31,Portugal,72,72,Futebol Clube de Famalicão,1700000.0,7000.0,LWB
J. Steer,28,England,72,73,Aston Villa,1900000.0,31000.0,GK
M. Caraglio,32,Argentina,72,72,Rosario Central,1900000.0,14000.0,ST
M. Le Marchand,31,France,72,72,RC Strasbourg Alsace,1600000.0,15000.0,CB
S. Malone,30,England,72,72,Millwall,2000000.0,11000.0,LWB
Portillo,31,Spain,72,72,Unión Deportiva Almería,1900000.0,9000.0,RM
Pedro Trigueira,33,Portugal,72,72,CD Tondela,750000.0,5000.0,GK
S. Clucas,30,England,72,72,Stoke City,2200000.0,21000.0,CM
L. Sobiech,30,Germany,72,72,SV Darmstadt 98,1900000.0,11000.0,CB
Renan Ribeiro,31,Brazil,72,72,Sporting CP,1200000.0,7000.0,GK
C. Austin,31,England,72,72,Queens Park Rangers,2000000.0,15000.0,ST
M. Pack,30,England,72,72,Cardiff City,2000000.0,22000.0,CDM
J. Bidwell,28,England,72,72,Swansea City,2100000.0,20000.0,LWB
Gabriel Silva,30,Brazil,72,72,AS Saint-Étienne,2000000.0,20000.0,LB
G. Donati,31,Italy,72,72,AC Monza,1700000.0,4000.0,RB
J. Martin,31,France,72,72,Stade Rennais FC,1900000.0,29000.0,CM
P. Testroet,30,Germany,72,72,SV Sandhausen,2300000.0,8000.0,ST
S. Araujo,29,Argentina,72,72,AEK Athens,2300000.0,1000.0,ST
